Date,JSE,ANGLOGOLD,GOLDFIELDS,DRDGOLD,HARMONY,ANGLOAMER,IMPALA,NORTHAM
2020-03-09,-0.064356521,-0.016967182,-0.023843153,-0.022204157,-0.009148607,-0.027212564,-0.162602371,-0.165923411
2020-03-10,0.013154717,-0.099733187,-0.056649296,-0.10651259,-0.071333564,-0.065478745,0.009633026,-0.029280772
2020-03-11,-0.007954572,0.026118414,0.028346842,0.00765554,0.015123162,0.042843221,0.017206488,0.01030152
2020-03-12,-0.10226799,-0.111537449,-0.167407276,-0.154309574,-0.174337143,-0.226459972,-0.245944169,-0.266024819
2020-03-13,-0.002844678,-0.027063746,-0.116020477,-0.167964601,-0.102319459,0.04107236,0.030790547,0.034738411
2020-03-16,-0.086910673,-0.092581849,-0.068588641,-0.061035891,-0.103462982,-0.123413006,-0.207104835,-0.207432046
2020-03-17,0.026301288,0.224453655,0.162983593,0.178818926,0.114646279,-0.050400124,-0.063696249,-0.024623516
2020-03-18,-0.074230248,-0.057551798,-0.020466691,0.028820439,-0.092201139,-0.275336042,-0.273519759,-0.189371848
2020-03-19,-0.016766429,-0.109894614,-0.228267638,-0.050097837,-0.198450939,-0.076313539,-0.000694686,-0.042485194
2020-03-20,0.059043925,0.026514522,0.129634186,0.083620529,0.100380856,0.150152491,0.032307741,0.04811805
2020-03-23,-0.051063058,0.051152974,0.032723275,0.068992871,0.007504726,0.078238406,-0.068752602,-0.065957968
2020-03-24,0.072614999,0.131294981,0.129170137,0.092976456,0.074336823,0.095163146,0.18621786,0.139761942
2020-03-25,0.050441837,0.134660368,0.155199743,0.033995005,0.129774966,0.203482861,0.160752488,0.188625754
2020-03-26,0.040041991,0.073174487,0.067702524,0.051067433,0.055475696,-0.029517746,0.02887109,0.014815086
2020-03-27,-0.047729354,-0.154732657,-0.166097269,-0.094452179,-0.14135951,9.61017E-05,-0.064654011,-0.094923258
2020-03-30,0.010810611,0.01306819,0.034219225,0.059514128,0.00803407,-0.013252732,-0.00224645,-0.044967692
2020-03-31,0.024498196,-0.057894566,-0.079142032,-0.094066509,-0.07170306,0.048005524,0.001982423,0.029385931
2020-04-01,-0.017181252,-0.070356968,-0.049879834,-0.08559193,-0.053224761,-0.000729525,-0.07881118,-0.013781316
2020-04-02,0.029920087,0.104519628,0.102234551,0.11920047,0.089231134,0.027974035,0.094400675,0.0497218
2020-04-03,-0.010305761,0.050663175,0.037046881,0.037985113,-0.01697249,-0.024662291,0.013812909,-0.038392703
2020-04-06,0.036148307,0.029053337,0.052976546,0.142130676,0.069935122,0.148918785,0.109199292,0.09315461
2020-04-07,0.026807862,0.013195552,0.01677579,-0.015097625,0.02895449,0.026670646,0.139062047,0.075619986
