Date,JSE,ANGLOGOLD,GOLDFIELDS,DRDGOLD,HARMONY,ANGLOAMER,IMPALA,NORTHAM
2017-01-20,-0.006990437,-0.003717816,-0.015672937,0.00389864,-0.007437282,0.003263489,-0.009216655,-0.007991027
2017-01-23,0.009627939,0.029303261,0.03598363,0.031910812,0.039938245,0.088722333,0.048202102,0.002260352
2017-01-24,0.00566918,0.005735419,0.015748357,-0.00756624,0.004770432,0.053900962,0.075507553,0.003687773
2017-01-25,-0.001712123,-0.040426558,-0.03605905,-0.043991569,-0.050948947,0.006940698,-0.027651531,-0.012345836
2017-01-26,0.002905778,-0.017901311,-0.007588112,-0.011976191,-0.016091213,0.010610179,0.020352229,0.010708504
2017-01-27,-0.008120213,-0.003129893,-0.004362057,-0.034040046,0.015778175,-0.028349936,-0.033522692,0.009581156
2017-01-30,-0.005924204,0.044151868,0.013892127,0.031359079,0.05660166,-0.015817027,-0.013922224,0.003847327
2017-01-31,0.002412162,0.018955379,-0.004753682,0.010681009,0.000295814,0.009007911,0.025970562,0.033193945
2017-02-01,0.005968539,-0.00011773,0.003891055,-0.028284714,0.005603908,-0.005853062,0.019457669,0.01339956
2017-02-02,-0.007267591,0.035450556,0.026821531,0.029611854,0.040633742,0.039279083,0.005672995,0.004042743
2017-02-03,-0.008656931,-0.009304517,-0.017587062,-0.002656044,-0.010789429,-0.027324028,-0.067950662,-0.005780363
2017-02-06,-0.002183759,0.00981575,0.00978523,-0.018792499,0.01642166,-0.022867134,0.009331327,0.004242197
2017-02-07,0.000589458,0.00560638,0.021154836,0.084410889,0.04663489,-0.002695927,0.031428165,0.000384763
2017-02-08,-0.007278363,0.03561306,0.030614636,0.080138498,0.039158859,0.025732816,0.020416448,0.011854823
2017-02-09,0.001945081,-0.018147322,-0.056862862,-0.017391743,-0.046151895,-0.00450828,-0.000919033,-0.007823721
2017-02-10,0.014971841,-0.01487141,-0.034635497,-0.030881314,-0.024591403,-0.010541599,-0.023066499,0.006872879
2017-02-13,0.005100349,-0.005252024,0.000440432,0.00240964,0.00138217,0.002294895,0.025454231,0.031647618
2017-02-14,-0.00931631,-0.007901584,0.007020652,-0.001204094,0.003584727,-0.028069368,-0.030169886,-0.060601581
2017-02-15,0.000371984,-0.01918759,-0.012540039,-0.015786606,0.008769582,-0.047803441,-0.030523533,-0.001175779
2017-02-16,0.001926498,0.002846605,-0.00377066,0.010955679,0.013550343,-0.031718784,-0.012751521,0.011889819
2017-02-17,-0.006923611,0.004630174,-0.018843088,0.043819918,-0.00188603,0.044282497,-0.006735366,0.035966202
2017-02-20,0.006395578,-0.043368349,-0.038315326,-0.035381049,-0.043545044,-0.009569745,-0.008984786,-0.025941055
2017-02-21,0.000532597,-0.004775298,-0.007083855,-0.003607941,-0.007067167,0.00651248,0.002003607,0.010115555
2017-02-22,-0.00951618,-0.044922834,0.002366865,-0.017011346,-0.027028672,-0.025145883,-0.013704366,0.026238387
2017-02-23,0.001813341,-0.017775404,0.00377537,-0.037457563,-0.001458364,-0.02228876,-0.047370718,-0.011347903
2017-02-24,-0.01104595,-0.011745374,0.012405074,-0.032323435,0.021369569,0.01130172,-0.032435276,-0.056179418
2017-02-27,-0.002186079,-0.020176065,-0.043257695,-0.037487656,-0.037256928,-0.015129753,-0.035798006,0.034811488
2017-02-28,-0.006841396,-0.030636377,-0.022599832,-0.053233856,-0.055485123,-0.022061276,0.003183992,0.035671137
2017-03-01,0.010428165,-0.022362043,-0.00873368,-0.036634133,-0.020906685,0.011466137,-0.036064935,0.010457851
2017-03-02,0.004074333,-0.006694173,0.029145061,0.007434978,0.028713126,0.022194858,0.027627991,0.005642021
2017-03-03,-0.003563262,-0.033355594,0.010172042,-0.040821995,-0.066884454,-0.04126811,-0.030692946,-0.002544068
2017-03-06,-0.004078809,-0.01265281,0.000481812,-0.020265697,-0.029016881,-0.036377481,-0.017868254,-0.041041876
2017-03-07,-0.002339908,-0.026328166,-0.034798905,-0.070118364,-0.042306606,-0.018907834,-0.007237667,-0.03354208
2017-03-08,-0.001515031,-0.004341706,-0.001247661,0.038115633,-0.003577821,-0.029446879,-0.031983046,-0.019598766
2017-03-09,-0.007617243,-0.004667364,-0.012057418,0.027267126,0.021277398,-0.006271204,-0.024036578,-0.035198426
2017-03-10,0.007023305,-0.010252547,-0.039695933,-0.009539023,-0.029916761,0.018982327,0.004598884,-0.014181677
2017-03-13,0.011362072,0.015148892,0.041715626,0.067927341,0.041775986,0.009658137,0.023678688,0.048980182
2017-03-14,-0.003011547,0.012438537,0.037375963,0.030862111,0.044421611,0.039765569,0.039775891,-0.002002003
2017-03-15,4.13922E-05,-0.014577739,-0.015671232,-0.07355152,-0.056982837,-0.049744877,-0.0254405,0
